,betaa1,betaa2,decay,drop_end,drop_middle,loss_mu,lr,n_conv2,n_conv3,n_resid
63,100,1500,0.0001,0.0,0.3,0.01,0.0007015513315689855,64,32,4
64,97,522,0.08741866261525245,0.01856033552501626,0.48682920162200816,1.2603343542255305,0.0007029601990892678,44,50,1
65,94,1161,0.0014272597825966367,0.3999692597234702,0.5035782851847472,0.01,6.654959603434866e-05,64,64,1
66,68,1376,0.0005585682580344364,0.07999030902471792,0.32638337887367486,1.9722740762087951,0.0008803589048157237,64,40,3
67,48,734,0.03010169911295757,0.04641840289162628,0.6363358937028297,0.08375899297351375,0.002927756789667027,62,60,4
68,93,1360,0.03795403684707464,0.268317763769018,0.43073931839172386,1.3223479507548144,0.0002986050526821056,40,64,2
69,85,391,0.00017175046618892907,0.26798666587921094,0.5162070290732085,0.16370471923754176,7.799043667857926e-05,52,63,1
70,10,100,0.0001,0.0,0.7,0.01,0.0017881623309682316,32,32,4
71,98,379,0.00013917344932108238,0.23690186463389382,0.31623699325751364,1.6968022479594356,8.105907317948665e-05,62,35,2
72,10,1500,0.1,0.0,0.3,0.01,0.0007657684699717665,32,64,4
73,53,1010,0.010028991843099713,0.0,0.45872018731298647,0.01,0.002335338121472348,64,64,4
74,10,100,0.1,0.0,0.3,0.01,0.003,32,32,1
75,100,1500,0.0001,0.4,0.3,0.01,9.22181891935533e-05,64,42,1
76,58,1500,0.0001,0.0,0.7,2.0,0.00029099652898577946,39,64,1
77,10,1500,0.1,0.0,0.3,0.01,0.003,32,32,4
78,100,100,0.1,0.0,0.7,0.01,0.0009604783283945973,32,64,4
79,98,703,0.0019987101157660243,0.06242408633425178,0.6962488990996064,0.07071375792387431,0.0002471780057212981,38,51,1
80,26,476,0.09721404702460719,0.3930035483589434,0.3366707676168256,1.1744749900408815,0.0004497622863093387,55,39,4
81,16,1459,0.00025988965372376915,0.08823455020954166,0.34072581311778627,0.273812628340509,0.0028483908694452984,64,58,1
82,10,100,0.003724444149681868,0.0,0.3,0.01,0.002160042688482839,64,64,4
83,100,1500,0.09118737481365767,0.38136029644450714,0.7,0.01,0.00012591533752530148,32,64,4
84,100,1270,0.04156320579846161,0.0,0.7,0.642066979063998,7.191963267715409e-05,64,64,2
85,100,100,0.1,0.0,0.3,0.01,0.0006131767552383008,64,32,1
86,100,1500,0.1,0.09942536502328102,0.3,0.01,0.0001858670122749933,64,32,1
87,10,1244,0.1,0.0,0.7,0.01,0.00047056441386042865,32,36,3
88,51,1151,0.0001,0.4,0.3,0.01,0.0010137992382102318,64,32,4
89,99,1491,0.09039908700439421,0.2074234120160696,0.31092494236026585,1.3808096060143225,0.00027579463490322905,37,35,4
90,50,100,0.0001,0.0,0.3,0.01,0.0015073012462266488,64,49,4
91,12,1334,0.016117920404758082,0.3983147783465314,0.4936421854836507,0.5443819676637878,9.250340308003871e-05,36,39,1
92,76,1288,0.024413785395986008,0.03188962872754338,0.30426213611590436,0.4062713648449365,7.54510097493432e-05,34,41,1
93,34,291,0.0011126233462106035,0.30054550556012805,0.3231519396963056,0.031942020778327515,0.0002131020001434958,33,34,1
94,100,1500,0.1,0.4,0.6591198049862831,2.0,0.0006865152988361456,32,64,1
95,98,128,0.0005909437381406356,0.23941424198843922,0.688242398088346,1.7446985932930148,0.00043843035942107576,36,51,4
96,37,388,0.0001760978478433403,0.004503891763973123,0.6685421465621916,0.08876184395144773,0.00028240704364254393,62,37,2
97,100,1500,0.0001,0.0,0.45881023273532007,0.01,0.0004790609925994464,59,50,4
98,44,801,0.005987083432838496,0.3981862053760126,0.35237124719992563,0.4080956701078821,5.365609216421652e-05,33,50,1
99,100,353,0.0001,0.4,0.4224460136564522,0.9303559759706775,4.967131039502673e-05,64,64,4
100,10,100,0.0001,0.01822004138940282,0.3,0.01,0.0017655154168648107,32,54,4
101,10,175,0.1,0.0,0.561996019521225,0.01,0.0018744743518514914,64,64,4
102,13,613,0.00010423506188390652,0.22787802849777405,0.621169812549649,0.013416614109275356,4.92195380395035e-05,60,38,3
103,100,103,0.1,0.0,0.3,0.01,0.0004304723117276601,36,35,1
104,100,1277,0.09333388004355411,0.030714280532081167,0.3477731678006698,0.1443063616672566,5.549734901132694e-05,45,33,3
105,24,1463,0.05099425569730443,0.3701240362974475,0.3709534548913995,1.8751902320457088,0.00010889392408485485,64,39,2
